date,CPI,IR,WG,CI,OG,UR,M2,ER,CCI
Jan-10,216.687,0.11,1.6,139.8396793,-2.326,9.8,8478,92.3566,98.54066
Feb-10,216.741,0.13,1.7,136.5527422,-2.326,9.8,8527.6,93.7321,98.59536
Mar-10,217.631,0.16,1.9,141.5248055,-2.326,9.9,8523.7,93.7979,98.59229
Apr-10,218.009,0.2,1.9,149.3131179,-2.326,9.9,8555.1,92.6661,98.57201
May-10,218.178,0.2,1.6,140.40247,-2.326,9.6,8609.3,92.8423,98.57075
Jun-10,217.965,0.18,1.7,137.7190239,-2.326,9.4,8628.4,96.6123,98.4764
Jul-10,218.011,0.18,1.8,137.843341,-2.326,9.4,8639.8,95.8018,98.19405
Aug-10,218.312,0.19,2,141.6437761,-2.326,9.5,8688.2,93.2793,98.02185
Sep-10,218.439,0.19,1.9,144.4336063,-2.326,9.5,8718.9,94.1148,97.97143
Oct-10,218.711,0.19,1.7,152.2074609,-2.326,9.4,8768.7,90.836,98.06914
Nov-10,218.803,0.19,1.7,157.064602,-2.326,9.8,8789.3,90.0307,98.32436
Dec-10,219.179,0.18,1.7,166.1620394,-2.326,9.3,8822.9,91.6799,98.57317
Jan-11,220.223,0.17,1.9,172.4587679,-2.416,9.1,8845.2,89.9524,98.68053
Feb-11,221.309,0.16,1.9,178.7044496,-2.416,9,8909,89.1436,98.6318
Mar-11,223.467,0.14,1.9,184.783152,-2.416,9,8967,88.831,98.39011
Apr-11,224.906,0.1,1.9,194.3060334,-2.416,9.1,9030.4,87.7993,98.33224
May-11,225.964,0.09,2,186.867636,-2.416,9,9102.7,85.5999,98.3172
Jun-11,225.722,0.09,2,184.9132857,-2.416,9.1,9176.7,86.5964,98.01389
Jul-11,225.922,0.07,2.1,187.8832835,-2.416,9,9338.7,86.3613,97.44407
Aug-11,226.545,0.1,2.2,183.2106433,-2.416,9,9525.1,86.0391,96.95721
Sep-11,226.889,0.08,2.1,180.6537473,-2.416,9,9545.3,86.8512,96.88524
Oct-11,226.421,0.07,2.2,174.8984469,-2.416,8.8,9578.1,91.9998,97.10273
Nov-11,226.23,0.08,2,176.8079012,-2.416,8.6,9629.8,90.7296,97.53288
Dec-11,225.672,0.07,2,173.3904921,-2.416,8.5,9677.4,91.227,98.0825
Jan-12,226.665,0.08,1.9,176.4563799,-1.956,8.3,9750.5,92.4262,98.55213
Feb-12,227.663,0.1,1.9,181.9184689,-1.956,8.3,9802.2,90.0963,98.81364
Mar-12,229.392,0.13,2,185.6312439,-1.956,8.2,9846.2,89.7817,98.93896
Apr-12,230.085,0.14,2.2,182.5968222,-1.956,8.2,9899.8,90.4593,98.97374
May-12,229.815,0.16,2.1,171.93852,-1.956,8.2,9943,90.3227,98.91758
Jun-12,229.478,0.16,2.3,160.920297,-1.956,8.2,10013,94.6979,98.71276
Jul-12,229.104,0.16,2.1,166.4862461,-1.956,8.2,10065.7,92.9096,98.64057
Aug-12,230.379,0.13,2.1,171.3767775,-1.956,8.1,10136.4,92.8905,98.81055
Sep-12,231.407,0.14,2.1,173.0224796,-1.956,7.8,10216.6,92.1677,99.1271
Oct-12,231.317,0.16,2.1,171.2361944,-1.956,7.8,10282.8,90.7011,99.3541
Nov-12,230.221,0.16,2.3,169.0795594,-1.956,7.7,10351.8,91.1217,99.26765
Dec-12,229.601,0.16,2.3,169.9635097,-1.956,7.9,10474.4,91.1038,98.93344
Jan-13,230.28,0.14,2.3,174.0278215,-1.782,8,10497.6,90.6941,98.80494
Feb-13,232.166,0.15,2.3,175.5039578,-1.782,7.7,10516.6,90.6923,98.90801
Mar-13,232.773,0.14,2.2,171.203032,-1.782,7.5,10572.9,92.6177,99.07497
Apr-13,232.531,0.15,2.2,167.8192501,-1.782,7.6,10600.4,92.1687,99.28728
May-13,232.945,0.11,2.2,166.7434087,-1.782,7.5,10634.7,91.4331,99.62595
Jun-13,233.504,0.09,2.1,164.0598228,-1.782,7.5,10692.3,93.6076,99.80103
Jul-13,233.596,0.09,2.3,165.9943667,-1.782,7.3,10731.5,94.0998,99.76331
Aug-13,233.877,0.08,2.3,168.5851083,-1.782,7.2,10789.6,93.7972,99.48215
Sep-13,234.149,0.08,2.4,167.9622457,-1.782,7.2,10850,94.7541,99.10065
Oct-13,233.546,0.09,2.2,165.3971142,-1.782,7.2,10974.2,92.9515,98.86481
Nov-13,233.069,0.08,2,163.565588,-1.782,6.9,10982.9,93.155,98.96538
Dec-13,233.049,0.09,2.2,167.1752793,-1.782,6.7,11047.8,93.6291,99.26935
Jan-14,233.916,0.07,2.3,165.5265377,-1.336,6.6,11117.6,93.8192,99.44219
Feb-14,234.781,0.07,2.5,169.3502727,-1.336,6.7,11183.2,95.1774,99.51205
Mar-14,236.293,0.08,2.4,168.6297736,-1.336,6.7,11219.1,94.3879,99.54432
Apr-14,237.072,0.09,2.3,170.105533,-1.336,6.2,11264,94.1244,99.6188
May-14,237.9,0.09,2.3,168.0707796,-1.336,6.3,11328.5,93.8707,99.60965
Jun-14,238.343,0.1,2.3,168.3513104,-1.336,6.1,11383.7,93.7606,99.59193
Jul-14,238.25,0.09,2.4,164.7976421,-1.336,6.2,11438.4,93.1365,99.59261
Aug-14,237.852,0.09,2.4,159.2537274,-1.336,6.1,11462.5,94.4754,99.67877
Sep-14,238.031,0.09,2.6,154.167918,-1.336,5.9,11503.7,95.063,99.87471
Oct-14,237.433,0.09,2.8,145.7653827,-1.336,5.7,11577.5,97.5387,100.1579
Nov-14,236.151,0.09,2.9,139.1188645,-1.336,5.8,11618.2,98.1163,100.5096
Dec-14,234.812,0.12,2.9,125.9272366,-1.336,5.6,11701.9,99.8964,100.9011
Jan-15,233.707,0.11,3,113.9747584,-0.541,5.7,11774.2,102.9027,101.1651
Feb-15,234.722,0.11,3,117.1988819,-0.541,5.5,11880.4,105.5884,101.1676
Mar-15,236.119,0.11,3.2,113.2482466,-0.541,5.4,11892.9,105.5981,101.0714
Apr-15,236.599,0.12,3.3,114.5803739,-0.541,5.4,11932.5,107.06,101.0168
May-15,237.805,0.12,3.3,118.1193675,-0.541,5.6,11963.8,105.6382,100.9366
Jun-15,238.638,0.13,3.2,115.7426434,-0.541,5.3,12011.1,107.2238,100.9506
Jul-15,238.654,0.13,3.1,109.3275391,-0.541,5.2,12061.1,107.0101,100.8362
Aug-15,238.316,0.14,3.1,102.3546598,-0.541,5.1,12110.8,108.7819,100.6471
Sep-15,237.945,0.14,3,101.8818267,-0.541,5,12170.3,110.4506,100.4767
Oct-15,237.838,0.12,2.9,102.0407252,-0.541,5,12211.2,111.0439,100.5059
Nov-15,237.336,0.12,3.1,96.00932306,-0.541,5.1,12301,110.2079,100.6221
Dec-15,236.525,0.24,3.1,90.57287961,-0.541,5,12361.5,112.1134,100.719
Jan-16,236.916,0.34,3.1,85.27318494,-0.806,4.8,12490.8,114.1595,100.7321
Feb-16,237.111,0.38,3.2,87.01508886,-0.806,4.9,12557.6,115.3331,100.6948
Mar-16,238.132,0.36,3.2,93.59665676,-0.806,5,12620.2,113.9265,100.655
Apr-16,239.261,0.37,3.4,96.92794306,-0.806,5.1,12703.7,110.2977,100.6771
May-16,240.229,0.37,3.5,100.8322882,-0.806,4.8,12775.9,108.8274,100.7992
Jun-16,241.018,0.38,3.6,103.5150579,-0.806,4.9,12841.1,112.462,100.7772
Jul-16,240.628,0.39,3.4,102.7944681,-0.806,4.8,12902.2,111.6509,100.6308
Aug-16,240.849,0.4,3.3,103.1562421,-0.806,4.9,12988.9,111.9757,100.5251
Sep-16,241.428,0.4,3.6,103.1794398,-0.806,5,13047.9,112.1733,100.506
Oct-16,241.729,0.4,3.9,106.7204034,-0.806,4.9,13112.8,112.2795,100.5827
Nov-16,241.353,0.41,3.9,105.5256392,-0.806,4.7,13182.4,113.9915,100.9112
Dec-16,241.432,0.54,3.5,111.4635876,-0.806,4.7,13215.3,117.6642,101.248
Jan-17,242.839,0.65,3.2,115.7048698,-0.484,4.7,13286.4,118.3466,101.3959
Feb-17,243.603,0.66,3.2,116.3314608,-0.484,4.6,13351.2,116.3914,101.3836
Mar-17,243.801,0.79,3.4,110.8422287,-0.484,4.4,13420.1,116.438,101.3529
Apr-17,244.524,0.9,3.5,111.112791,-0.484,4.4,13481,114.7938,101.3125
May-17,244.733,0.91,3.4,108.927676,-0.484,4.4,13539.7,114.5921,101.2397
Jun-17,244.955,1.04,3.2,105.6752387,-0.484,4.3,13564.1,113.3017,101.1323
Jul-17,244.786,1.15,3.3,108.2284297,-0.484,4.3,13628.9,111.9896,101.0932
Aug-17,245.519,1.16,3.4,111.0442409,-0.484,4.4,13688,109.8495,101.1911
Sep-17,246.819,1.15,3.6,114.0934649,-0.484,4.3,13733.8,109.0504,101.3125
Oct-17,246.663,1.15,3.4,115.5627011,-0.484,4.2,13788.5,110.0867,101.4621
Nov-17,246.669,1.16,3.2,120.5002689,-0.484,4.2,13814.7,111.7942,101.4421
Dec-17,246.524,1.3,2.9,121.9922797,-0.484,4.1,13860.3,110.1413,101.3597
Jan-18,247.867,1.41,3,128.4616698,0.309,4,13869.2,109.6444,101.3888
Feb-18,248.991,1.42,2.9,126.3490512,0.309,4.1,13907.3,106.4877,101.5478
Mar-18,249.554,1.51,3.3,126.1166025,0.309,4,13966.4,108.5357,101.6466
Apr-18,250.546,1.69,3.3,128.0836589,0.309,4,13989.3,107.4783,101.597
May-18,251.588,1.7,3.2,132.8360068,0.309,3.8,14055.7,109.7437,101.5131
Jun-18,251.989,1.82,3.2,131.6461239,0.309,4,14117.5,111.8253,101.4565
Jul-18,252.006,1.91,3.3,129.8409477,0.309,3.8,14157,113.2583,101.4258
Aug-18,252.146,1.91,3.5,127.5008405,0.309,3.8,14206,112.8897,101.4368
Sep-18,252.439,1.95,3.5,131.7203108,0.309,3.7,14238.2,114.275,101.5181
Oct-18,252.885,2.19,3.7,132.8175413,0.309,3.8,14248.1,113.8227,101.5007
Nov-18,252.038,2.2,3.9,121.454747,0.309,3.8,14258.7,115.8643,101.3942
Dec-18,251.233,2.27,3.8,115.900162,0.309,3.9,14369.9,116.4121,101.228
Jan-19,251.712,2.4,3.8,117.0189407,0.929,4,14432.7,115.7676,101.0291
Feb-19,252.776,2.4,3.4,118.7442385,0.929,3.8,14470.5,113.7524,101.0818
Mar-19,254.202,2.41,3.5,119.3643077,0.929,3.8,14513.9,114.535,101.2943
Apr-19,255.548,2.42,3.6,122.7799809,0.929,3.7,14548.1,114.935,101.4499
May-19,256.092,2.39,3.7,119.6398144,0.929,3.6,14660.8,115.0008,101.5356
Jun-19,256.143,2.38,3.9,114.8670157,0.929,3.6,14782.9,116.7279,101.4442
Jul-19,256.571,2.4,3.9,117.3751062,0.929,3.7,14865.4,114.7247,101.2183
Aug-19,256.558,2.13,3.7,112.0400034,0.929,3.6,14947.6,116.0509,100.93
Sep-19,256.759,2.04,3.6,114.0718806,0.929,3.5,15039.5,118.16,100.9299
Oct-19,257.346,1.83,3.5,112.6521981,0.929,3.6,15174.6,117.9621,101.1275
Nov-19,257.208,1.55,3.7,116.4273997,0.929,3.6,15273.3,115.7324,101.3892
Dec-19,256.974,1.55,3.7,119.298727,0.929,3.6,15334.3,117.1218,101.611
Jan-20,257.971,1.55,3.8,118.8116982,-2.658,3.6,15401.3,114.9746,101.6094
Feb-20,258.678,1.58,3.7,110.1376036,-2.658,3.5,15453.8,115.7342,101.1926
Mar-20,258.115,0.65,3.5,93.17050559,-2.658,4.4,15980.6,117.6573,100.2208
Apr-20,256.389,0.05,3.3,85.04903162,-2.658,14.8,16999,123.8033,99.16375
May-20,256.394,0.05,3.5,91.71746534,-2.658,13.2,17868.4,123.1615,98.67685
Jun-20,257.797,0.08,3.8,99.89216639,-2.658,11,18161.5,120.2753,98.62836
Jul-20,259.101,0.09,3.9,102.8871791,-2.658,10.2,18311.4,120.0902,98.64521
Aug-20,259.918,0.1,3.5,108.6799553,-2.658,8.4,18382.2,117.2208,98.84171
Sep-20,260.28,0.09,3.5,108.3285198,-2.658,7.8,18606.8,115.5814,99.14593
Oct-20,260.388,0.09,3.5,111.2466417,-2.658,6.9,18758.1,116.7339,99.29075
Nov-20,260.229,0.09,3.7,115.231344,-2.658,6.7,18973.3,116.1417,99.24879
Dec-20,260.474,0.09,3.4,125.2526592,-2.658,6.7,19110.3,112.8122,99.25177
Jan-21,261.582,0.09,3.4,136.9578348,0.705,6.4,19335,111.2143,99.2577
Feb-21,263.014,0.08,3.4,137.9781743,0.705,6.2,19571.2,112.4282,99.39362
Mar-21,264.877,0.07,3.4,141.0038884,0.705,6.1,19810,112.538,99.7503
Apr-21,267.054,0.07,3.2,145.2418264,0.705,6.1,20133.3,113.7504,99.9882
May-21,269.195,0.06,3,155.1945939,0.705,5.8,20437.8,112.0959,99.93102
Jun-21,271.696,0.08,3.2,160.7624435,0.705,5.9,20482,110.5179,99.72665
Jul-21,273.003,0.1,3.7,164.8270408,0.705,5.4,20633.7,112.7484,99.27081
Aug-21,273.567,0.09,3.9,163.17876,0.705,5.1,20844.5,112.6808,98.71656
Sep-21,274.31,0.08,4.2,171.5711391,0.705,4.7,20974,112.8832,98.42559
Oct-21,276.589,0.08,4.1,191.501525,0.705,4.5,21153.9,114.3899,98.24384
Nov-21,277.948,0.08,4.3,183.0881261,0.705,4.2,21327.7,114.2231,98.08574
Dec-21,278.802,0.08,4.5,186.6913406,0.705,3.9,21508,115.9026,97.98695
Jan-22,281.148,0.08,5.1,192.25005,0.621,4,21566.6,115.4243,97.758
Feb-22,283.716,0.08,5.8,203.5057627,0.621,3.8,21621.3,115.3775,97.45845
Mar-22,287.504,0.2,6,239.8619703,0.621,3.7,21723.5,115.8062,97.22704
Apr-22,289.109,0.33,6,228.2651427,0.621,3.7,21724.3,115.4835,97.06501
May-22,292.296,0.77,6.1,226.3373005,0.621,3.6,21698,119.4936,96.66874
Jun-22,296.311,1.21,6.7,231.6032547,0.621,3.6,21653.6,118.6936,96.27213
Jul-22,296.276,1.68,6.7,229.4462457,0.621,3.5,21645.8,121.5123,96.24514
Aug-22,296.171,2.33,6.7,241.918746,0.621,3.6,21627.9,121.4218,96.50505
Sep-22,296.808,2.56,6.3,220.0186328,0.621,3.5,21509,124.4045,96.71938
Oct-22,298.012,3.08,6.4,191.3663361,0.621,3.6,21434.4,127.5159,96.83194
Nov-22,297.711,3.78,6.4,192.0821658,0.621,3.6,21368.1,127.4011,96.8955
Dec-22,296.797,4.1,6.1,194.3483531,0.621,3.5,21273.9,122.0147,97.11164
Jan-23,299.17,4.33,6.1,182.6362767,0.821,3.5,21189.1,121.4392,97.39186
Feb-23,300.84,4.57,6.1,174.5612856,0.821,3.6,21120.1,118.6396,97.50507
Mar-23,301.836,4.65,6.4,168.3002589,0.821,3.5,20874.8,120.6971,97.39567
Apr-23,303.363,4.83,6.1,170.7646554,0.821,3.4,20718.2,119.4611,97.30491
May-23,304.127,5.06,6,157.134012,0.821,3.6,20812.5,119.5845,97.30555
Jun-23,305.109,5.08,5.6,154.0691693,0.821,3.6,20797.6,120.2628,97.59198
Jul-23,305.691,5.12,5.7,157.9089765,0.821,3.5,20773.4,119.7118,97.92828
Aug-23,307.026,5.33,5.3,161.2716234,0.821,3.7,20750.2,118.9156,97.97174
Sep-23,307.789,5.33,5.2,168.6070964,0.821,3.8,20700.1,121.1011,97.79299
Oct-23,307.671,5.33,5.2,167.909338,0.821,3.9,20688.1,122.6332,97.58613
Nov-23,307.051,5.33,5.2,165.1382617,0.821,3.7,20706.2,124.0801,97.65981
Dec-23,306.746,5.33,5.2,159.5383632,0.821,3.8,20759.3,120.2542,98.17484
Jan-24,308.417,5.33,5,159.3145699,0.871,3.7,20760.4,119.6165,98.77728
Feb-24,310.326,5.33,5,158.6343779,0.871,3.9,20800.7,120.6832,97.45845
Mar-24,312.332,5.33,4.7,163.0759851,0.871,3.9,20905.6,121.3741,97.22704
Apr-24,313.548,5.33,5.3,170.3975921,0.871,3.9,20931.6,121.8884,97.06501
May-24,314.069,5.33,5.3,168.6919506,0.871,4,21013,123.3776,96.66874
Jun-24,314.175,5.33,5.3,166.7375942,0.871,4.1,21079.2,122.4845,96.27213
Jul-24,314.54,5.33,4.7,166.137493,0.871,4.2,21093.6,124.7723,96.24514
Aug-24,314.796,5.33,4.6,164.1747704,0.871,4.2,21182.5,124.1551,96.50505
Sep-24,315.301,5.13,4.7,161.4552155,0.871,4.1,21252.4,122.5582,96.71938
Oct-24,315.664,4.83,4.6,166.5123491,0.871,4.1,21332.7,121.9152,96.83194
Nov-24,315.493,4.64,4.3,166.2072526,0.871,4.2,21465.8,125.0403,96.8955
Dec-24,315.605,4.48,4.2,166.6343651,0.871,4.1,21549.3,126.8114,97.11164
Jan-25,317.671,4.33,4.1,172.8043768,0.396,4,21561.4,129.6666,97.39186
